id,name,description,cpu_class,socket,clock_speed,turbo_speed,cores,threads,total_cores,primary_cores,secondary_cores,performance_cores,efficient_cores,typical_tdp,tdp_down,tdp_up,cache_per_cpu_package,cache_per_effective_cpu_package,memory_support,other_names,first_seen_on_charts,cpu_mark_per_dollar_price,overall_rank,last_price_change,multi_thread_rating,single_thread_rating,num_samples,margin_for_error,integer_math,floating_point_math,find_prime_numbers,random_string_sorting,data_encryption,data_compression,physics,extended_instructions,relative_gaming_score
3699,AMD Ryzen 7 4700U,with Radeon Graphics,Laptop,FP6,2.0 GHz,4.1 GHz,8,8,,,,,,15 W,10 W,25 W,L1 Instruction Cache: 8 x 32 KB; L1 Data Cache: 8 x 32 KB; L2 Cache: 8 x 512 KB; L3 Cache: 8 MB,,,AMD Ryzen 7 4700U with Radeon Graphics,Q2 2020,NA,1152nd fastest in multithreading out of 5149 CPUs; 988th fastest in single threading out of 5149 CPUs; 281st fastest in out of 1491 Laptop CPUs,NA,13227,2507,1786,Low,"41,744 MOps/Sec","28,298 MOps/Sec",38 Million Primes/Sec,"18,197 Thousand Strings/Sec","8,468 MBytes/Sec","154,761 KBytes/Sec",599 Frames/Sec,"13,413 Million Matrices/Sec","1,284"
3700,Intel Core i9-10980HK @ 2.40GHz,Intel UHD Graphics,Laptop,FCBGA1440,2.4 GHz,5.3 GHz,8,16,,,,,,45 W,,65 W,L1 Instruction Cache: 8 x 32 KB; L1 Data Cache: 8 x 32 KB; L2 Cache: 8 x 256 KB; L3 Cache: 16 MB,,Max. Memory Size: 128 GB (DDR4-2933),"Intel(R) Core(TM) i9-10980HK CPU @ 2.40GHz, Intel Core i9-10980HK CPU @ 2.40GHz",Q2 2020,26.13,1026th fastest in multithreading out of 5149 CPUs; 766th fastest in single threading out of 5149 CPUs; 247th fastest in out of 1491 Laptop CPUs,$583.00 USD (2020-04-01),15234,2753,425,Low,"54,486 MOps/Sec","34,409 MOps/Sec",49 Million Primes/Sec,"28,980 Thousand Strings/Sec","5,239 MBytes/Sec","226,292 KBytes/Sec",841 Frames/Sec,"13,983 Million Matrices/Sec","2,041"
3701,Intel Xeon W-2295 @ 3.00GHz,,Server,FCLGA2066,3.0 GHz,4.8 GHz,18,36,,,,,,165 W,,,L1 Instruction Cache: 18 x 32 KB; L1 Data Cache: 18 x 32 KB; L2 Cache: 18 x 1024 KB; L3 Cache: 25 MB,,"Max. Memory Size: 1.0 TB (DDR4 2933, ECC Supported)","Intel(R) Xeon(R) W-2295 CPU @ 3.00GHz, Intel Xeon W-2295 CPU @ 3.00GHz",Q2 2020,22.47,391st fastest in multithreading out of 5149 CPUs; 872nd fastest in single threading out of 5149 CPUs; 244th fastest in out of 1105 Server CPUs,"$1,375.00 USD (2025-05-13)",30892,2637,78,Low,"120,448 MOps/Sec","74,161 MOps/Sec",119 Million Primes/Sec,"62,553 Thousand Strings/Sec","11,565 MBytes/Sec","487,651 KBytes/Sec","1,724 Frames/Sec","37,222 Million Matrices/Sec",
3702,AMD Ryzen 5 4500U,with Radeon Graphics,Laptop,FP6,2.3 GHz,4.0 GHz,6,6,,,,,,15 W,10 W,25 W,L1 Instruction Cache: 6 x 32 KB; L1 Data Cache: 6 x 32 KB; L2 Cache: 6 x 512 KB; L3 Cache: 8 MB,,,AMD Ryzen 5 4500U with Radeon Graphics,Q2 2020,NA,1312th fastest in multithreading out of 5149 CPUs; 1090th fastest in single threading out of 5149 CPUs; 324th fastest in out of 1491 Laptop CPUs,NA,10789,2415,2285,Low,"31,062 MOps/Sec","21,837 MOps/Sec",36 Million Primes/Sec,"14,673 Thousand Strings/Sec","6,753 MBytes/Sec","124,377 KBytes/Sec",524 Frames/Sec,"10,863 Million Matrices/Sec","1,339"
3703,Intel Xeon Gold 6138T @ 2.00GHz,,Server,FCLGA3647,2.0 GHz,3.7 GHz,20,40,,,,,,125 W,,,L1 Instruction Cache: 16 x 32 KB; L1 Data Cache: 16 x 32 KB; L2 Cache: 16 x 1024 KB; L3 Cache: 28 MB,,"Max. Memory Size: 768 GB (DDR4-2666, ECC Supported)","Intel(R) Xeon(R) Gold 6138T CPU @ 2.00GHz, Intel Xeon Gold 6138T CPU @ 2.00GHz",Q2 2020,2.75,765th fastest in multithreading out of 5149 CPUs; 1968th fastest in single threading out of 5149 CPUs; 382nd fastest in out of 1105 Server CPUs,"$7,401.00 USD (2025-02-14)",20356,1790,3,High,"89,056 MOps/Sec","52,833 MOps/Sec",80 Million Primes/Sec,"36,396 Thousand Strings/Sec","10,360 MBytes/Sec","390,659 KBytes/Sec","1,084 Frames/Sec","26,842 Million Matrices/Sec",
3705,Intel Core i7-8565UC @ 1.80GHz,Intel UHD Graphics 620,Laptop,FCBGA1528,1.8 GHz,4.6 GHz,4,8,,,,,,15 W,10 W,25 W,L1 Instruction Cache: 4 x 32 KB; L1 Data Cache: 4 x 32 KB; L2 Cache: 4 x 256 KB; L3 Cache: 8 MB,,,Intel(R) Core(TM) i7-8565UC CPU @ 1.80GHz,Q2 2020,NA,1853rd fastest in multithreading out of 5149 CPUs; 973rd fastest in single threading out of 5149 CPUs; 450th fastest in out of 1491 Laptop CPUs,NA,6187,2527,1,High,"16,185 MOps/Sec","8,213 MOps/Sec",19 Million Primes/Sec,"13,434 Thousand Strings/Sec","2,452 MBytes/Sec","103,883 KBytes/Sec",397 Frames/Sec,"6,367 Million Matrices/Sec",854
3706,Intel Core i5-9300HF @ 2.40GHz,,Laptop,FCBGA1440,2.4 GHz,4.1 GHz,4,8,,,,,,45 W,35 W,,L1 Instruction Cache: 4 x 32 KB; L1 Data Cache: 4 x 32 KB; L2 Cache: 4 x 256 KB; L3 Cache: 8 MB,,"Max. Memory Size: 128 GB (DDR4-2666, LPDDR3-2133)",Intel(R) Core(TM) i5-9300HF CPU @ 2.40GHz,Q2 2020,29.29,1644th fastest in multithreading out of 5149 CPUs; 1232nd fastest in single threading out of 5149 CPUs; 402nd fastest in out of 1491 Laptop CPUs,$250.00 USD (2019-04-01),7322,2283,280,Low,"24,703 MOps/Sec","15,631 MOps/Sec",21 Million Primes/Sec,"13,646 Thousand Strings/Sec","2,548 MBytes/Sec","102,294 KBytes/Sec",436 Frames/Sec,"6,503 Million Matrices/Sec",854
3707,Intel Core i3-10110Y @ 1.00GHz,Intel UHD Graphics,Laptop,UTFCBGA1377,1.0 GHz,4.0 GHz,2,4,,,,,,7 W,5.5 W,9 W,L1 Instruction Cache: 4 x 32 KB; L1 Data Cache: 4 x 32 KB; L2 Cache: 4 x 256 KB; L3 Cache: 4 MB,,"Max. Memory Size: 16 GB (LPDDR3-2133, DDR3L-1600)",Intel(R) Core(TM) i3-10110Y CPU @ 1.00GHz,Q2 2020,11.37,2579th fastest in multithreading out of 5149 CPUs; 1683rd fastest in single threading out of 5149 CPUs; 597th fastest in out of 1491 Laptop CPUs,$287.00 USD (2019-07-01),3264,1977,9,Medium,"11,567 MOps/Sec","6,866 MOps/Sec",12 Million Primes/Sec,"5,171 Thousand Strings/Sec","1,090 MBytes/Sec","40,501 KBytes/Sec",238 Frames/Sec,"2,484 Million Matrices/Sec",588
3708,AMD Ryzen 5 4600H,with Radeon Graphics,Laptop,FP6,3.0 GHz,4.0 GHz,6,12,,,,,,45 W,35 W,,L1 Instruction Cache: 6 x 32 KB; L1 Data Cache: 6 x 32 KB; L2 Cache: 6 x 512 KB; L3 Cache: 8 MB,,,AMD Ryzen 5 4600H with Radeon Graphics,Q2 2020,NA,1087th fastest in multithreading out of 5149 CPUs; 1082nd fastest in single threading out of 5149 CPUs; 265th fastest in out of 1491 Laptop CPUs,NA,14281,2423,2837,Low,"45,863 MOps/Sec","26,998 MOps/Sec",28 Million Primes/Sec,"21,775 Thousand Strings/Sec","12,283 MBytes/Sec","202,879 KBytes/Sec",631 Frames/Sec,"13,000 Million Matrices/Sec","1,450"
3709,Intel Core i3-9350K @ 4.00GHz,Intel UHD Graphics 630,Desktop,FCLGA1151,4.0 GHz,4.6 GHz,4,4,,,,,,91 W,,,L1 Instruction Cache: 4 x 32 KB; L1 Data Cache: 4 x 32 KB; L2 Cache: 4 x 256 KB; L3 Cache: 8 MB,,"Max. Memory Size: 64 GB (DDR4-2400, ECC Supported)",Intel(R) Core(TM) i3-9350K CPU @ 4.00GHz,Q2 2020,NA,1591st fastest in multithreading out of 5149 CPUs; 755th fastest in single threading out of 5149 CPUs; 486th fastest in out of 1449 Desktop CPUs,NA,7662,2769,8,Medium,"20,451 MOps/Sec","17,188 MOps/Sec",40 Million Primes/Sec,"12,563 Thousand Strings/Sec","2,266 MBytes/Sec","104,008 KBytes/Sec",564 Frames/Sec,"8,758 Million Matrices/Sec","1,087"
3711,Intel Xeon Silver 4214R @ 2.40GHz,,Server,FCLGA3647,2.4 GHz,3.5 GHz,12,24,,,,,,100 W,,,L1 Instruction Cache: 8 x 32 KB; L1 Data Cache: 8 x 32 KB; L2 Cache: 8 x 4096 KB; L3 Cache: 16 MB,,,"Intel(R) Xeon(R) Silver 4214R CPU @ 2.40GHz, Intel Xeon Silver 4214R CPU @ 2.40GHz",Q2 2020,34.63,900th fastest in multithreading out of 5149 CPUs; 1783rd fastest in single threading out of 5149 CPUs; 427th fastest in out of 1105 Server CPUs,$514.93 USD (2025-04-11),17834,1917,25,Low,"62,372 MOps/Sec","38,517 MOps/Sec",75 Million Primes/Sec,"34,664 Thousand Strings/Sec","6,731 MBytes/Sec","274,021 KBytes/Sec","1,203 Frames/Sec","17,688 Million Matrices/Sec",
3712,Intel Pentium 6405U @ 2.40GHz,Intel UHD Graphics,Laptop,FCBGA1528,2.4 GHz,,2,4,,,,,,15 W,12.5 W,,L1 Instruction Cache: 2 x 32 KB; L1 Data Cache: 2 x 32 KB; L2 Cache: 2 x 256 KB; L3 Cache: 2 MB,,,"Intel(R) Pentium(R) CPU 6405U @ 2.40GHz, Intel Pentium CPU 6405U @ 2.40GHz",Q2 2020,14.65,3026th fastest in multithreading out of 5149 CPUs; 2705th fastest in single threading out of 5149 CPUs; 708th fastest in out of 1491 Laptop CPUs,$161.00 USD (2019-10-01),2358,1361,97,Low,"8,219 MOps/Sec","5,086 MOps/Sec",9 Million Primes/Sec,"4,537 Thousand Strings/Sec",885.9 MBytes/Sec,"35,249 KBytes/Sec",221 Frames/Sec,"1,015 Million Matrices/Sec",306
3713,AMD EPYC 7402,,Server,SP3,2.8 GHz,3.4 GHz,24,48,,,,,,180 W,,,L1 Instruction Cache: 2 x 32 KB; L1 Data Cache: 2 x 32 KB; L2 Cache: 2 x 512 KB; L3 Cache: 16 MB,,,AMD EPYC 7402 24-Core Processor,Q2 2020,70.79,217th fastest in multithreading out of 5149 CPUs; 1443rd fastest in single threading out of 5149 CPUs; 157th fastest in out of 1105 Server CPUs,$650.00 USD (2025-06-11),46012,2129,12,Medium,"164,110 MOps/Sec","99,769 MOps/Sec",355 Million Primes/Sec,"83,586 Thousand Strings/Sec","48,912 MBytes/Sec","734,910 KBytes/Sec","4,417 Frames/Sec","45,967 Million Matrices/Sec",
3714,Intel Core i3-1000NG4 @ 1.10GHz,Intel Iris Plus Graphics,Laptop,BGA1526,1.1 GHz,3.2 GHz,2,4,,,,,,9 W,,,L1 Instruction Cache: 2 x 32 KB; L1 Data Cache: 2 x 48 KB; L2 Cache: 2 x 512 KB; L3 Cache: 4 MB,,,Intel(R) Core(TM) i3-1000NG4 CPU @ 1.10GHz,Q2 2020,NA,2462nd fastest in multithreading out of 5149 CPUs; 2036th fastest in single threading out of 5149 CPUs; 574th fastest in out of 1491 Laptop CPUs,NA,3543,1754,307,Low,"12,011 MOps/Sec","6,576 MOps/Sec",14 Million Primes/Sec,"4,200 Thousand Strings/Sec","2,133 MBytes/Sec","39,372 KBytes/Sec",350 Frames/Sec,"2,107 Million Matrices/Sec",725
3715,AMD Ryzen 3 3100,,Desktop,AM4,3.6 GHz,3.9 GHz,4,8,,,,,,65 W,,,L1 Instruction Cache: 4 x 32 KB; L1 Data Cache: 4 x 32 KB; L2 Cache: 4 x 512 KB; L3 Cache: 16 MB,,,AMD Ryzen 3 3100 4-Core Processor,Q2 2020,172.57,1260th fastest in multithreading out of 5149 CPUs; 1091st fastest in single threading out of 5149 CPUs; 403rd fastest in out of 1449 Desktop CPUs,$66.99 USD (2025-06-07),11561,2415,1588,Low,"31,064 MOps/Sec","18,316 MOps/Sec",51 Million Primes/Sec,"15,319 Thousand Strings/Sec","9,008 MBytes/Sec","142,242 KBytes/Sec",711 Frames/Sec,"9,375 Million Matrices/Sec","1,538"
3716,AMD Ryzen 3 3300X,,Desktop,AM4,3.8 GHz,4.3 GHz,4,8,,,,,,65 W,,,L1 Instruction Cache: 4 x 32 KB; L1 Data Cache: 4 x 32 KB; L2 Cache: 4 x 512 KB; L3 Cache: 16 MB,,,AMD Ryzen 3 3300X 4-Core Processor,Q2 2020,99.99,1195th fastest in multithreading out of 5149 CPUs; 839th fastest in single threading out of 5149 CPUs; 390th fastest in out of 1449 Desktop CPUs,$125.99 USD (2025-05-28),12597,2668,599,Low,"34,080 MOps/Sec","20,055 MOps/Sec",58 Million Primes/Sec,"16,616 Thousand Strings/Sec","9,705 MBytes/Sec","153,147 KBytes/Sec",792 Frames/Sec,"10,045 Million Matrices/Sec","1,708"
3717,Intel Core i3-10100 @ 3.60GHz,Intel UHD Graphics 630,Desktop,FCLGA1200,3.6 GHz,4.3 GHz,4,8,,,,,,65 W,,,L1 Instruction Cache: 4 x 32 KB; L1 Data Cache: 4 x 32 KB; L2 Cache: 4 x 256 KB; L3 Cache: 6 MB,,Max. Memory Size: 128 GB (DDR4-2666),"Intel(R) Core(TM) i3-10100 CPU @ 3.60GHz, Intel Core i3-10100 CPU @ 3.60GHz",Q2 2020,85.31,1485th fastest in multithreading out of 5149 CPUs; 898th fastest in single threading out of 5149 CPUs; 463rd fastest in out of 1449 Desktop CPUs,$100.75 USD (2025-06-07),8595,2605,1587,Low,"28,580 MOps/Sec","17,920 MOps/Sec",23 Million Primes/Sec,"16,141 Thousand Strings/Sec","2,893 MBytes/Sec","128,238 KBytes/Sec",523 Frames/Sec,"8,627 Million Matrices/Sec",877
3718,AMD EPYC 7232P,,Server,SP3,3.1 GHz,3.2 GHz,8,16,,,,,,120 W,,,L1 Instruction Cache: 8 x 32 KB; L1 Data Cache: 8 x 32 KB; L2 Cache: 8 x 512 KB; L3 Cache: 32 MB,,,AMD EPYC 7232P 8-Core Processor,Q2 2020,39.40,906th fastest in multithreading out of 5149 CPUs; 2008th fastest in single threading out of 5149 CPUs; 430th fastest in out of 1105 Server CPUs,$450.00 USD (2025-06-12),17731,1767,7,Medium,"50,769 MOps/Sec","29,909 MOps/Sec",86 Million Primes/Sec,"26,390 Thousand Strings/Sec","15,226 MBytes/Sec","235,726 KBytes/Sec","1,274 Frames/Sec","15,300 Million Matrices/Sec",
3719,AMD EPYC 7702,,Server,SP3,2.0 GHz,3.4 GHz,64,128,,,,,,200 W,,,L1 Instruction Cache: 127 x 32 KB; L1 Data Cache: 127 x 32 KB; L2 Cache: 127 x 512 KB; L3 Cache: 512 MB,,,AMD EPYC 7702 64-Core Processor,Q2 2020,50.09,78th fastest in multithreading out of 5149 CPUs; 1556th fastest in single threading out of 5149 CPUs; 67th fastest in out of 1105 Server CPUs,"$1,375.00 USD (2025-03-19)",68870,2063,40,Low,"383,828 MOps/Sec","219,855 MOps/Sec",502 Million Primes/Sec,"151,190 Thousand Strings/Sec","101,531 MBytes/Sec","1,424,300 KBytes/Sec","5,905 Frames/Sec","81,016 Million Matrices/Sec",
3720,AMD Athlon Silver 3050U,with Radeon Graphics,Laptop,FP5,2.3 GHz,3.2 GHz,2,2,,,,,,15 W,12 W,25 W,L1 Instruction Cache: 2 x 64 KB; L1 Data Cache: 2 x 32 KB; L2 Cache: 2 x 512 KB; L3 Cache: 4 MB,,,AMD Athlon Silver 3050U with Radeon Graphics,Q2 2020,NA,2713th fastest in multithreading out of 5149 CPUs; 2138th fastest in single threading out of 5149 CPUs; 626th fastest in out of 1491 Laptop CPUs,NA,2952,1692,489,Low,"7,949 MOps/Sec","5,170 MOps/Sec",15 Million Primes/Sec,"4,184 Thousand Strings/Sec","1,805 MBytes/Sec","33,986 KBytes/Sec",210 Frames/Sec,"1,825 Million Matrices/Sec",516
3721,AMD Ryzen 7 4800U,with Radeon Graphics,Laptop,FP6,1.8 GHz,4.2 GHz,8,16,,,,,,15 W,10 W,25 W,L1 Instruction Cache: 8 x 32 KB; L1 Data Cache: 8 x 32 KB; L2 Cache: 8 x 512 KB; L3 Cache: 8 MB,,,AMD Ryzen 7 4800U with Radeon Graphics,Q2 2020,NA,960th fastest in multithreading out of 5149 CPUs; 941st fastest in single threading out of 5149 CPUs; 229th fastest in out of 1491 Laptop CPUs,NA,16632,2563,464,Low,"61,059 MOps/Sec","33,946 MOps/Sec",33 Million Primes/Sec,"25,003 Thousand Strings/Sec","13,727 MBytes/Sec","226,052 KBytes/Sec",728 Frames/Sec,"13,908 Million Matrices/Sec","1,401"
3722,AMD Ryzen 3 3250U,with Radeon Graphics,Laptop,FP5,2.6 GHz,3.5 GHz,2,4,,,,,,15 W,12 W,25 W,L1 Instruction Cache: 2 x 64 KB; L1 Data Cache: 2 x 32 KB; L2 Cache: 2 x 512 KB; L3 Cache: 4 MB,,,AMD Ryzen 3 3250U with Radeon Graphics,Q2 2020,NA,2404th fastest in multithreading out of 5149 CPUs; 2072nd fastest in single threading out of 5149 CPUs; 561st fastest in out of 1491 Laptop CPUs,NA,3743,1737,951,Low,"12,363 MOps/Sec","6,248 MOps/Sec",11 Million Primes/Sec,"5,698 Thousand Strings/Sec","3,176 MBytes/Sec","48,861 KBytes/Sec",235 Frames/Sec,"1,841 Million Matrices/Sec",555
3723,Intel Core i5-1038NG7 @ 2.00GHz,Intel Iris Plus Graphics,Laptop,FCBGA1344,2.0 GHz,3.8 GHz,4,8,,,,,,28 W,,,L1 Instruction Cache: 4 x 32 KB; L1 Data Cache: 4 x 48 KB; L2 Cache: 4 x 512 KB; L3 Cache: 6 MB,,"Max. Memory Size: 64 GB (DDR4-3200, LPDDR4-3733)",Intel(R) Core(TM) i5-1038NG7 CPU @ 2.00GHz,Q2 2020,27.66,1463rd fastest in multithreading out of 5149 CPUs; 1391st fastest in single threading out of 5149 CPUs; 356th fastest in out of 1491 Laptop CPUs,$320.00 USD (2020-04-01),8850,2163,428,Low,"27,612 MOps/Sec","15,314 MOps/Sec",28 Million Primes/Sec,"11,504 Thousand Strings/Sec","5,715 MBytes/Sec","109,168 KBytes/Sec",699 Frames/Sec,"6,484 Million Matrices/Sec",974
3724,Intel Core i5-8260U @ 1.60GHz,Intel UHD Graphics 620,Laptop,FCBGA1528,1.6 GHz,3.9 GHz,4,8,,,,,,15 W,10 W,25 W,L1 Instruction Cache: 4 x 32 KB; L1 Data Cache: 4 x 32 KB; L2 Cache: 4 x 256 KB; L3 Cache: 6 MB,,"Max. Memory Size: 64 GB (DDR4-2400, LPDDR3-2133)",Intel(R) Core(TM) i5-8260U CPU @ 1.60GHz,Q2 2020,16.82,1630th fastest in multithreading out of 5149 CPUs; 1308th fastest in single threading out of 5149 CPUs; 397th fastest in out of 1491 Laptop CPUs,$439.99 USD (2021-05-18),7398,2226,36,Low,"25,124 MOps/Sec","15,655 MOps/Sec",20 Million Primes/Sec,"13,448 Thousand Strings/Sec","2,578 MBytes/Sec","103,558 KBytes/Sec",456 Frames/Sec,"6,744 Million Matrices/Sec",759
3725,AMD Ryzen 5 4600U,with Radeon Graphics,Laptop,FP6,2.1 GHz,4.0 GHz,6,12,,,,,,15 W,10 W,25 W,L1 Instruction Cache: 6 x 32 KB; L1 Data Cache: 6 x 32 KB; L2 Cache: 6 x 512 KB; L3 Cache: 8 MB,,,AMD Ryzen 5 4600U with Radeon Graphics,Q2 2020,NA,1141st fastest in multithreading out of 5149 CPUs; 1070th fastest in single threading out of 5149 CPUs; 278th fastest in out of 1491 Laptop CPUs,NA,13370,2430,82,Low,"44,097 MOps/Sec","25,661 MOps/Sec",27 Million Primes/Sec,"20,670 Thousand Strings/Sec","11,486 MBytes/Sec","183,238 KBytes/Sec",561 Frames/Sec,"11,625 Million Matrices/Sec","1,370"
3726,Intel Core i7-10875H @ 2.30GHz,Intel UHD Graphics,Laptop,FCBGA1440,2.3 GHz,5.1 GHz,8,16,,,,,,45 W,35 W,,L1 Instruction Cache: 4 x 32 KB; L1 Data Cache: 4 x 32 KB; L2 Cache: 4 x 256 KB; L3 Cache: 16 MB,,Max. Memory Size: 128 GB (DDR4-2933),"Intel(R) Core(TM) i7-10875H CPU @ 2.30GHz, Intel Core i7-10875H CPU @ 2.30GHz",Q2 2020,32.59,1055th fastest in multithreading out of 5149 CPUs; 798th fastest in single threading out of 5149 CPUs; 253rd fastest in out of 1491 Laptop CPUs,$450.00 USD (2020-04-01),14667,2711,1780,Low,"52,189 MOps/Sec","32,865 MOps/Sec",50 Million Primes/Sec,"27,584 Thousand Strings/Sec","5,064 MBytes/Sec","215,969 KBytes/Sec",843 Frames/Sec,"13,241 Million Matrices/Sec","2,030"
3727,Intel Core i7-1060NG7 @ 1.20GHz,Intel Iris Plus Graphics,Laptop,FCBGA1526,1.2 GHz,3.8 GHz,4,8,,,,,,10 W,,,L1 Instruction Cache: 4 x 32 KB; L1 Data Cache: 4 x 48 KB; L2 Cache: 4 x 512 KB; L3 Cache: 8 MB,,,Intel(R) Core(TM) i7-1060NG7 CPU @ 1.20GHz,Q2 2020,NA,1781st fastest in multithreading out of 5149 CPUs; 1787th fastest in single threading out of 5149 CPUs; 435th fastest in out of 1491 Laptop CPUs,NA,6546,1914,105,Low,"24,299 MOps/Sec","13,092 MOps/Sec",27 Million Primes/Sec,"8,073 Thousand Strings/Sec","3,740 MBytes/Sec","70,397 KBytes/Sec",552 Frames/Sec,"4,103 Million Matrices/Sec",916
3728,Intel Xeon Gold 6226R @ 2.90GHz,,Server,FCLGA3647,2.9 GHz,3.9 GHz,16,32,,,,,,150 W,,,L1 Instruction Cache: 16 x 32 KB; L1 Data Cache: 16 x 32 KB; L2 Cache: 16 x 1024 KB; L3 Cache: 22 MB,,,"Intel(R) Xeon(R) Gold 6226R CPU @ 2.90GHz, Intel Xeon Gold 6226R CPU @ 2.90GHz",Q2 2020,33.01,517th fastest in multithreading out of 5149 CPUs; 1267th fastest in single threading out of 5149 CPUs; 297th fastest in out of 1105 Server CPUs,$800.00 USD (2025-05-24),26405,2263,21,Low,"103,972 MOps/Sec","64,224 MOps/Sec",99 Million Primes/Sec,"56,223 Thousand Strings/Sec","10,696 MBytes/Sec","444,682 KBytes/Sec","1,481 Frames/Sec","30,101 Million Matrices/Sec",
3729,Intel Core i7-1068NG7 @ 2.30GHz,Intel Iris Plus Graphics,Laptop,FCBGA1344,2.3 GHz,4.1 GHz,4,8,,,,,,28 W,,,L1 Instruction Cache: 4 x 32 KB; L1 Data Cache: 4 x 48 KB; L2 Cache: 4 x 512 KB; L3 Cache: 8 MB,,"Max. Memory Size: 64 GB (DDR4-3200, LPDDR4-3733)",Intel(R) Core(TM) i7-1068NG7 CPU @ 2.30GHz,Q2 2020,21.82,1424th fastest in multithreading out of 5149 CPUs; 1174th fastest in single threading out of 5149 CPUs; 349th fastest in out of 1491 Laptop CPUs,$426.00 USD (2020-04-01),9297,2330,219,Low,"29,839 MOps/Sec","16,681 MOps/Sec",32 Million Primes/Sec,"12,090 Thousand Strings/Sec","5,903 MBytes/Sec","112,559 KBytes/Sec",734 Frames/Sec,"6,536 Million Matrices/Sec","1,177"
3730,Intel Core i9-10900K @ 3.70GHz,Intel UHD Graphics 630,Desktop,FCLGA1200,3.7 GHz,5.3 GHz,10,20,,,,,,125 W,95 W,,L1 Instruction Cache: 10 x 32 KB; L1 Data Cache: 10 x 32 KB; L2 Cache: 10 x 256 KB; L3 Cache: 20 MB,,Max. Memory Size: 128 GB (DDR4-2933),"Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz, Intel Core i9-10900K CPU @ 3.70GHz",Q2 2020,50.04,656th fastest in multithreading out of 5149 CPUs; 582nd fastest in single threading out of 5149 CPUs; 216th fastest in out of 1449 Desktop CPUs,$449.99 USD (2025-06-10),22518,3115,3648,Low,"85,489 MOps/Sec","53,179 MOps/Sec",63 Million Primes/Sec,"46,474 Thousand Strings/Sec","7,845 MBytes/Sec","375,956 KBytes/Sec","1,032 Frames/Sec","24,653 Million Matrices/Sec","2,349"
3731,AMD EPYC 7272,,Server,SP3,2.9 GHz,3.2 GHz,12,24,,,,,,120 W,,,L1 Instruction Cache: 12 x 32 KB; L1 Data Cache: 12 x 32 KB; L2 Cache: 12 x 512 KB; L3 Cache: 64 MB,,,AMD EPYC 7272 12-Core Processor,Q2 2020,64.11,549th fastest in multithreading out of 5149 CPUs; 1831st fastest in single threading out of 5149 CPUs; 309th fastest in out of 1105 Server CPUs,$392.44 USD (2025-06-12),25161,1886,4,High,"74,807 MOps/Sec","44,339 MOps/Sec",173 Million Primes/Sec,"38,249 Thousand Strings/Sec","21,756 MBytes/Sec","347,763 KBytes/Sec","1,950 Frames/Sec","22,910 Million Matrices/Sec",
3732,Intel Xeon Gold 6248R @ 3.00GHz,,Server,FCLGA3647,3.0 GHz,4.0 GHz,24,48,,,,,,205 W,,,L1 Instruction Cache: 6 x 32 KB; L1 Data Cache: 6 x 32 KB; L2 Cache: 6 x 1024 KB; L3 Cache: 36 MB,,,"Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz, Intel Xeon Gold 6248R CPU @ 3.00GHz",Q2 2020,22.15,315th fastest in multithreading out of 5149 CPUs; 1216th fastest in single threading out of 5149 CPUs; 208th fastest in out of 1105 Server CPUs,"$1,600.00 USD (2025-01-02)",35434,2296,7,Medium,"156,234 MOps/Sec","97,017 MOps/Sec",145 Million Primes/Sec,"78,738 Thousand Strings/Sec","13,691 MBytes/Sec","651,658 KBytes/Sec","2,035 Frames/Sec","49,365 Million Matrices/Sec",
3733,Intel Core i7-10700K @ 3.80GHz,Intel UHD Graphics 630,Desktop,FCLGA1200,3.8 GHz,5.1 GHz,8,16,,,,,,125 W,95 W,,L1 Instruction Cache: 8 x 32 KB; L1 Data Cache: 8 x 32 KB; L2 Cache: 8 x 256 KB; L3 Cache: 16 MB,,Max. Memory Size: 128 GB (DDR4-2933),"Intel(R) Core(TM) i7-10700K CPU @ 3.80GHz, Intel Core i7-10700K CPU @ 3.80GHz",Q2 2020,51.76,853rd fastest in multithreading out of 5149 CPUs; 616th fastest in single threading out of 5149 CPUs; 286th fastest in out of 1449 Desktop CPUs,$359.98 USD (2025-06-12),18633,3044,6226,Low,"66,662 MOps/Sec","41,319 MOps/Sec",55 Million Primes/Sec,"36,660 Thousand Strings/Sec","6,489 MBytes/Sec","295,657 KBytes/Sec",934 Frames/Sec,"19,390 Million Matrices/Sec","2,264"
3734,Intel Core i7-10850H @ 2.70GHz,Intel UHD Graphics,Laptop,FCBGA1440,2.7 GHz,5.1 GHz,6,12,,,,,,45 W,35 W,,L1 Instruction Cache: 6 x 32 KB; L1 Data Cache: 6 x 32 KB; L2 Cache: 6 x 256 KB; L3 Cache: 12 MB,,Max. Memory Size: 128 GB (DDR4-2933),"Intel(R) Core(TM) i7-10850H CPU @ 2.70GHz, Intel Core i7-10850H CPU @ 2.70GHz",Q2 2020,29.58,1250th fastest in multithreading out of 5149 CPUs; 833rd fastest in single threading out of 5149 CPUs; 305th fastest in out of 1491 Laptop CPUs,$395.00 USD (2020-04-01),11685,2679,1211,Low,"40,138 MOps/Sec","25,333 MOps/Sec",41 Million Primes/Sec,"21,627 Thousand Strings/Sec","3,906 MBytes/Sec","166,765 KBytes/Sec",718 Frames/Sec,"10,417 Million Matrices/Sec","1,925"
